CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQSMNORVTHKOKUCDEFMDB00859426,2024,1,1,1,43,N,6,269,1,,2,1,,2,2,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,2,190000,2,2,2,,2,1,"63333,33",1,1,1,,1,1,512,2,0,98,0,0,0,Nuclear,Material durable,Alto,buena
TQRMNORPQHKOLLCDEFMDB00859427,2024,1,1,1,43,N,6,124,2,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,6,0,6,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,2,3,4,5,0,Extendido,Material durable,Alto,buena
TQRMNOPVXHJOLMCDEFMDB00796233,2024,1,1,1,43,N,6,156,2,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,0,5,860000,8,9,8,,9,8,172000,5,5,5,,5,5,291,2,0,1,0,0,0,Extendido,Material durable,Alto,buena
TQRMNORTYHKOKUCDEGPDJ00859428,2024,1,1,1,40,N,19,385,1,,2,1,,4,2,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,320000,3,3,4,,4,4,160000,4,5,6,,5,5,385,1,0,2,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNORRYHKLLOCDEGPDJ00859429,2024,1,1,1,40,N,19,205,1,,5,1,,2,1,1,1,,1,1,1,1,2,2,2,5,4,1,1,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,5,1,4,800000,8,8,9,,8,9,160000,5,5,6,,5,6,205,2,0,98,0,0,0,Extendido,Material durable,Medio,buena
TQRMNOPUPHLNLOCDEGPDJ00853559,2024,1,1,1,40,N,19,192,1,,5,1,,2,2,1,1,,1,1,1,1,2,2,2,5,4,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,6,2,4,970000,9,9,10,,9,9,"161666,67",5,5,6,,5,6,192,3,4,98,0,0,0,Extendido,Material durable,Alto,buena
TQRMNOTRPHMOLMCDEGPDJ00859430,2024,1,1,1,40,N,19,222,1,,2,1,,4,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,300000,3,3,3,,3,3,300000,7,8,9,,8,9,222,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
TQRMNOQWXHKNLQCDEGPDJ00859431,2024,1,1,1,40,N,19,160,1,,4,1,,2,2,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,515000,6,6,7,,6,6,"171666,67",5,5,6,,5,6,160,1,2,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNORRQHMNLQCDEGPDJ00800354,2024,1,1,1,40,N,19,180,1,,4,1,,2,2,1,1,,1,1,1,1,1,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,560000,6,7,7,,7,7,"186666,67",5,5,7,,6,7,180,1,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOSVSHMNLQCDEGPDJ00800355,2024,1,1,1,40,N,19,212,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,210000,2,2,2,,2,2,210000,6,6,8,,6,7,212,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
